ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.168313, ADJ_RAND_SCORE=0.000551
ACC=0.327622, f1_macro=0.281293, precision_macro=0.312887, recall_macro=0.293904, f1_micro=0.327622, precision_micro=0.327622, recall_micro=0.327622, NMI=0.083274, ADJ_RAND_SCORE=0.063328
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.073816, ADJ_RAND_SCORE=0.056397
ACC=0.422821, f1_macro=0.356013, precision_macro=0.365943, recall_macro=0.407285, f1_micro=0.422821, precision_micro=0.422821, recall_micro=0.422821, NMI=0.199086, ADJ_RAND_SCORE=0.143557
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.100334, ADJ_RAND_SCORE=0.076323
ACC=0.327622, f1_macro=0.281293, precision_macro=0.312887, recall_macro=0.293904, f1_micro=0.327622, precision_micro=0.327622, recall_micro=0.327622, NMI=0.083274, ADJ_RAND_SCORE=0.063328
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.073816, ADJ_RAND_SCORE=0.056397
ACC=0.422821, f1_macro=0.356013, precision_macro=0.365943, recall_macro=0.407285, f1_micro=0.422821, precision_micro=0.422821, recall_micro=0.422821, NMI=0.199086, ADJ_RAND_SCORE=0.143557
ACC=0.504348, f1_macro=0.255033, precision_macro=0.455678, recall_macro=0.272122, f1_micro=0.504348, precision_micro=0.504348, recall_micro=0.504348, NMI=0.106060, ADJ_RAND_SCORE=0.079992
ACC=0.327622, f1_macro=0.281293, precision_macro=0.312887, recall_macro=0.293904, f1_micro=0.327622, precision_micro=0.327622, recall_micro=0.327622, NMI=0.083274, ADJ_RAND_SCORE=0.063328
